complaint_id,product_tag
101,Freeze Issue
101,Slow Performance
102,Integration Error
102,Sync Failure
103,Integration Error
104,Biling Error
105,Biling Error
106,Delayed Notifications
107,Double Billing
107,Feature Access
108,Slow Performance
108,Freeze Issue
109,Sync Failure
110,Feature Access
111,Delayed Notifications
111,Notification Failure
112,Data Export Error
112,Export Failure
113,App Crash
114,Freeze Issue
114,Slow Performance
115,Login Issue
115,App Crash
116,App Crash
117,Login Issue
117,App Crash
118,Freeze Issue
119,Double Billing
119,Feature Access
120,Integration Error
121,Sync Failure
122,Login Issue
122,App Crash
123,Login Issue
124,Export Failure
125,Feature Access
125,Double Billing
126,Delayed Notifications
127,Slow Performance
127,Freeze Issue
128,Sync Failure
128,Integration Error
129,Login Issue
130,App Crash
131,Freeze Issue
131,Slow Performance
132,Billing Error
132,Double Billing
133,App Crash
133,Login Issue
134,Feature Access
135,Login Issue
135,App Crash
136,Billing Error
137,Login Issue
137,App Crash
138,Biling Error
138,Double Billing
139,Integration Error
140,Feature Access
141,Biling Error
141,Double Billing
142,Integration Error
142,Sync Failure
143,Export Failure
144,Freeze Issue
145,Feature Access
146,Feature Access
147,Data Export Error
147,Export Failure
148,Slow Performance
149,Freeze Issue
150,Freeze Issue
151,Integration Error
152,Export Failure
153,Double Billing
153,Billing Error
154,Freeze Issue
154,Slow Performance
155,Biling Error
155,Double Billing
156,Notification Failure
156,Delayed Notifications
157,Double Billing
157,Biling Error
158,Slow Performance
158,Freeze Issue
159,Double Billing
159,Feature Access
160,Login Issue
160,App Crash
161,Feature Access
161,Billing Error
162,Delayed Notifications
163,Integration Error
163,Sync Failure
164,Integration Error
165,Biling Error
166,Double Billing
167,Data Export Error
167,Export Failure
168,Biling Error
169,Sync Failure
170,Login Issue
170,App Crash
171,Slow Performance
171,Freeze Issue
172,Login Issue
172,App Crash
173,Login Issue
173,App Crash
174,Billing Error
174,Feature Access
175,App Crash
175,Login Issue
176,Double Billing
177,Biling Error
177,Double Billing
178,Feature Access
179,Double Billing
180,Slow Performance
180,Freeze Issue
181,Freeze Issue
182,Double Billing
182,Feature Access
183,Feature Access
183,Double Billing
184,Feature Access
185,App Crash
185,Login Issue
186,Slow Performance
186,Freeze Issue
187,Integration Error
188,Login Issue
189,Slow Performance
190,Freeze Issue
190,Slow Performance
191,Integration Error
192,Integration Error
193,Slow Performance
194,App Crash
195,Slow Performance
196,Biling Error
196,Billing Error
197,Billing Error
198,Billing Error
199,Notification Failure
199,Delayed Notifications
200,Biling Error
201,Double Billing
202,Feature Access
203,Integration Error
204,Integration Error
204,Sync Failure
205,Sync Failure
206,Slow Performance
206,Freeze Issue
207,Slow Performance
207,Freeze Issue
208,Feature Access
209,Biling Error
209,Billing Error
210,Freeze Issue
211,Notification Failure
212,Billing Error
213,Freeze Issue
214,Login Issue
215,Billing Error
216,Slow Performance
217,Freeze Issue
217,Slow Performance
218,Integration Error
218,Sync Failure
219,Login Issue
219,App Crash
220,Freeze Issue
221,Feature Access
221,Biling Error
18727,Login Issue
18727,App Crash
223,Export Failure
224,App Crash
225,Slow Performance
225,Freeze Issue
226,Biling Error
226,Double Billing
227,Notification Failure
228,Billing Error
228,Biling Error
229,Billing Error
229,Biling Error
230,Delayed Notifications
230,Notification Failure
231,Slow Performance
232,Double Billing
233,Login Issue
234,Freeze Issue
234,Slow Performance
235,Billing Error
236,Freeze Issue
236,Slow Performance
237,Sync Failure
237,Integration Error
238,Freeze Issue
238,Slow Performance
239,App Crash
240,Double Billing
240,Billing Error
241,Freeze Issue
242,Feature Access
242,Billing Error
243,Delayed Notifications
244,Sync Failure
244,Integration Error
245,Biling Error
245,Double Billing
246,App Crash
247,Login Issue
248,Integration Error
249,Biling Error
250,Integration Error
251,Slow Performance
251,Freeze Issue
252,Biling Error
253,Freeze Issue
253,Slow Performance
254,Slow Performance
254,Freeze Issue
255,Feature Access
255,Biling Error
256,Login Issue
256,App Crash
257,Sync Failure
258,Billing Error
258,Biling Error
259,Billing Error
260,Slow Performance
261,Slow Performance
261,Freeze Issue
262,Notification Failure
263,Double Billing
264,Biling Error
265,Sync Failure
266,Sync Failure
266,Integration Error
267,Biling Error
267,Billing Error
268,Data Export Error
269,App Crash
269,Login Issue
270,Notification Failure
271,Biling Error
272,Sync Failure
273,Login Issue
273,App Crash
274,Slow Performance
275,Login Issue
275,App Crash
276,Biling Error
276,Double Billing
277,Slow Performance
278,Slow Performance
278,Freeze Issue
279,Sync Failure
280,Notification Failure
280,Delayed Notifications
281,Biling Error
282,Export Failure
282,Data Export Error
283,Feature Access
284,Sync Failure
284,Integration Error
285,Notification Failure
285,Delayed Notifications
286,Slow Performance
286,Freeze Issue
287,App Crash
287,Login Issue
288,Slow Performance
288,Freeze Issue
289,Sync Failure
290,Login Issue
291,Billing Error
292,Integration Error
