resolution_id,complaint_id,agent_id,resolution_date,resolution_type,notes
1,38295,243,5/11/2024,Fixed,Patched integration
2,33866,277,12/14/2023,Pending,Updated billing system
3,40296,224,6/29/2025,Fixed,No resolution details provided
4,9315,214,,Open,Work in progress
5,2205,247,,Open,Processed refund
6,48093,247,4/8/2025,Pending,Updated billing system
7,9567,259,,Open,Updated billing system
8,16239,294,6/21/2024,Fixed,Fixed login issue
9,40424,246,7/11/2025,Fixed,No resolution details provided
10,24008,223,3/27/2024,Fixed,Optimized server
11,31631,272,,Open,Work in progress
12,31803,215,7/23/2024,Pending,Debugging app crash
13,19109,240,7/14/2024,Fixed,Updated billing system
14,23908,231,2/21/2024,Fixed,Restored notification delivery
15,17752,276,9/6/2023,Fixed,Waiting for engineering team
16,7951,237,11/18/2023,Fixed,Patched integration
17,12978,269,11/22/2023,Fixed,Fixed login issue
18,48395,230,9/4/2023,Fixed,Fixed sync issue
19,6199,281,9/9/2023,Pending,Updated billing system
20,38451,294,3/10/2024,Fixed,Refunded overcharge
21,41472,269,,Open,Refunded overcharge
22,39225,286,2/14/2024,Fixed,Fixed sync issue
23,19464,233,,Open,Waiting for engineering team
24,8763,250,,Open,Improved load time
25,49911,268,6/12/2025,Fixed,No resolution details provided
26,43440,276,,Open,Patched integration
27,2983,269,12/3/2023,Fixed,No resolution details provided
28,29698,203,3/20/2025,Pending,Refunded overcharge
29,45536,244,7/25/2024,Fixed,Fixed login issue
30,36111,265,,Open,Resolved export error
31,36935,214,,Open,Work in progress
32,22302,266,,Open,Fixed sync issue
33,47824,261,11/22/2024,Fixed,Restored notification delivery
34,9037,259,10/8/2023,Pending,Patched dashboard
35,23171,229,,Open,Optimized server
36,4222,254,,Open,Work in progress
37,45103,286,2/15/2024,Fixed,Restored notification delivery
38,31877,245,,Open,Debugging app crash
39,1199,286,,Open,Fixed sync issue
40,14747,218,4/16/2025,Pending,
41,8945,269,,Open,Patched dashboard
42,3637,211,12/9/2023,Pending,Optimized server
43,33095,258,,Open,Work in progress
44,14885,286,12/23/2024,Fixed,No resolution details provided
45,32790,224,,Open,Fixed sync issue
46,41190,232,3/26/2024,Fixed,Improved load time
47,14746,264,,Open,Fixed sync issue
48,22545,237,3/9/2025,Fixed,No resolution details provided
49,34237,237,,Open,Processed refund
50,17924,276,7/8/2025,Fixed,Improved load time
51,15021,279,12/18/2023,Fixed,Waiting for engineering team
52,21942,268,12/17/2024,Fixed,Investigating delay
53,33831,234,,Open,Optimized server
54,13122,230,9/14/2024,Pending,
55,3378,284,4/27/2025,Fixed,No resolution details provided
56,20555,264,5/22/2024,Fixed,Refunded overcharge
57,7887,250,,Open,Updated billing system
58,39921,246,7/18/2024,Fixed,Investigating delay
59,34156,241,4/8/2025,Fixed,Updated billing system
60,14338,298,3/6/2025,Fixed,Debugging app crash
61,43183,260,2/13/2024,Pending,Updated app version
62,11700,246,,Open,Debugging app crash
63,48742,209,8/16/2023,Fixed,Waiting for engineering team
64,17904,266,,Open,Work in progress
65,7220,272,4/11/2025,Fixed,Patched integration
66,45181,254,10/1/2023,Fixed,Improved load time
67,26158,232,,Open,Updated app version
68,3331,253,,Open,Fixed sync issue
69,19078,201,2/4/2025,Fixed,Waiting for engineering team
70,48565,250,4/4/2024,Fixed,Waiting for engineering team
71,43156,264,5/29/2024,Fixed,Fixed notification bug
72,25515,243,3/29/2024,Fixed,Processed refund
73,38410,281,5/22/2025,Fixed,Refunded overcharge
74,44553,252,6/5/2024,Pending,
75,4113,240,9/25/2024,Fixed,Updated billing system
76,9805,285,3/21/2024,Fixed,Updated billing system
77,10457,216,,Open,Work in progress
78,2751,287,,Open,Refunded overcharge
79,16070,225,,Open,Work in progress
80,34429,287,,Open,Updated billing system
81,16185,254,12/29/2023,Fixed,No resolution details provided
82,17232,270,,Open,Processed refund
83,18286,291,12/3/2024,Pending,Processed refund
84,48815,220,,Open,Waiting for engineering team
85,37221,217,,Open,Work in progress
86,48429,246,10/27/2023,Fixed,No resolution details provided
87,39341,238,5/6/2024,Fixed,Updated app version
88,13322,268,,Open,Patched integration
89,10255,265,,Open,Updated app version
90,18600,244,1/20/2025,Fixed,No resolution details provided
91,31832,278,5/18/2024,Fixed,Fixed login issue
92,220,236,2/25/2024,Fixed,No resolution details provided
93,7874,211,4/16/2024,Pending,Updated app version
94,29000,242,9/8/2024,Fixed,Processed refund
95,47927,270,,Open,Work in progress
96,19870,241,1/13/2025,Fixed,No resolution details provided
97,3949,255,,Open,Work in progress
98,36185,284,,Open,Optimized server
99,29745,288,11/22/2023,Fixed,Updated billing system
100,36915,243,6/13/2025,Pending,
101,21752,249,12/14/2024,Fixed,No resolution details provided
102,23458,292,7/20/2023,Fixed,No resolution details provided
103,2599,292,11/12/2023,Fixed,Updated billing system
104,31102,285,,Open,Work in progress
105,9347,235,,Open,Processed refund
106,21909,288,3/30/2025,Fixed,Optimized server
107,14118,256,6/29/2024,Fixed,Updated billing system
108,9743,223,11/8/2023,Pending,Patched dashboard
109,4231,226,5/1/2024,Fixed,Waiting for engineering team
110,32797,281,5/13/2024,Fixed,No resolution details provided
111,17741,269,7/18/2025,Fixed,Patched dashboard
112,14672,263,11/10/2023,Fixed,No resolution details provided
113,2931,233,10/7/2024,Fixed,No resolution details provided
114,6347,262,2/27/2025,Fixed,No resolution details provided
115,2974,249,4/3/2025,Fixed,Debugging app crash
116,47340,249,6/30/2025,Fixed,Optimized server
117,135,267,11/19/2023,Fixed,No resolution details provided
118,2906,232,,Open,Updated app version
119,45659,221,,Open,Processed refund
120,14851,201,5/1/2025,Fixed,Improved load time
121,1372,300,,Open,Optimized server
122,4102,203,10/13/2024,Fixed,Updated billing system
123,43923,295,,Open,Work in progress
124,12022,271,5/11/2024,Fixed,Waiting for engineering team
125,1189,222,12/12/2023,Fixed,No resolution details provided
126,18485,235,,Open,Updated billing system
127,46154,217,9/3/2024,Pending,Patched integration
128,6340,265,11/3/2024,Fixed,Patched dashboard
129,25271,249,,Open,Enabled CSV export
130,10136,274,4/28/2025,Fixed,Optimized server
131,26336,264,,Open,Restored notification delivery
132,49489,259,,Open,Waiting for engineering team
133,12538,247,,Open,Work in progress
134,48332,279,5/26/2024,Pending,
135,1597,221,6/18/2025,Fixed,Optimized server
136,28180,277,,Open,Improved load time
137,30367,267,6/24/2024,Fixed,Debugging app crash
138,44782,256,8/8/2023,Pending,
139,19250,212,,Open,Patched integration
140,23926,277,1/4/2024,Fixed,Updated billing system
141,33904,210,,Open,Patched integration
142,23263,269,5/3/2024,Fixed,Fixed notification bug
143,42012,250,,Open,Restored notification delivery
144,24547,282,6/15/2025,Pending,
145,8722,299,9/26/2024,Fixed,No resolution details provided
146,38764,219,,Open,Refunded overcharge
147,39291,206,2/17/2024,Pending,Refunded overcharge
148,42303,217,,Open,Work in progress
149,37211,265,9/24/2023,Fixed,Processed refund
150,480,220,9/24/2024,Fixed,Updated app version
151,34350,257,,Open,Resolved export error
152,10409,252,4/6/2024,Fixed,Processed refund
153,7474,260,10/5/2023,Fixed,Optimized server
154,40212,214,10/29/2024,Fixed,Refunded overcharge
155,14024,284,,Open,Work in progress
156,31475,285,,Open,Work in progress
157,25733,266,9/14/2024,Pending,
158,12495,248,9/14/2023,Fixed,No resolution details provided
159,45621,279,7/28/2023,Pending,Processed refund
160,49468,238,,Open,Work in progress
161,36872,222,,Open,Waiting for engineering team
162,16623,274,,Open,Work in progress
163,10132,286,3/18/2025,Pending,Refunded overcharge
164,29532,266,4/4/2024,Pending,Restored notification delivery
165,362,287,,Open,Optimized server
166,46312,252,,Open,Updated billing system
167,37738,245,,Open,Updated app version
168,6840,255,,Open,Processed refund
169,7190,226,3/13/2025,Fixed,Patched integration
170,17409,286,3/6/2025,Fixed,No resolution details provided
171,11516,269,10/20/2023,Fixed,Debugging app crash
172,19851,294,3/31/2025,Fixed,Patched integration
